Matrix size: 1000 x 1000
Block Matrix Multiplication Performance
=====================================================
Block Size, Time (ms), Bandwidth (MB/s), GFLOPS
=====================================================
1, 10683.95, 2.14, 0.19
2, 2253.00, 10.16, 0.89
4, 1192.03, 19.20, 1.68
5, 1113.14, 20.56, 1.80
8, 912.91, 25.07, 2.19
10, 938.84, 24.38, 2.13
16, 893.85, 25.61, 2.24
20, 929.41, 24.63, 2.15
25, 947.11, 24.17, 2.11
32, 955.35, 23.96, 2.09
40, 1039.55, 22.02, 1.92
50, 1031.77, 22.18, 1.94
=====================================================
